problem,group,user,logs,units,annotation,unit branch,session branch,Parallel Coordinate Plot,Scatter Plot,Scatterplot Matrix,Accuracy,restore
Problem 2,A,B4,223,3,1,0,0,1,1,1,1,0
Problem 3,A,B4,133,5,1,0,0,3,2,0,1,0
Problem 4,A,B4,208,6,2,0,0,3,2,1,1,0
Problem 5,B,B4,441,6,1,3,0,6,0,0,1,0
Problem 1,A,B12,73,6,1,0,0,3,2,1,1,0
Problem 2,A,B12,55,4,1,0,0,2,1,1,1,0
Problem 3,A,B12,20,1,1,0,0,1,0,0,1,0
Problem 4,A,B12,41,3,1,0,0,2,0,1,1,0
Problem 5,A,B12,21,1,1,0,0,1,0,0,1,0
Problem 1,A,B13,40,1,1,0,0,1,0,0,1,0
Problem 2,A,B13,496,2,4,0,0,2,0,0,1,0
Problem 3,A,B13,18,1,1,0,0,1,0,0,0,0
Problem 4,A,B13,47,1,2,0,0,1,0,0,0,0
Problem 5,B,B13,420,17,3,1,0,8,8,1,1,0
Problem 1,A,B14,58,4,1,0,0,1,2,1,1,0
Problem 2,B,B14,91,4,1,1,0,1,3,0,0,0
Problem 3,A,B14,117,3,4,0,0,3,0,0,1,0
Problem 4,B,B14,257,11,12,6,0,10,0,1,1,0
Problem 5,A,B14,45,1,1,0,0,1,0,0,1,0
Problem 1,A,B15,52,3,1,0,0,1,1,1,1,0
Problem 2,A,B15,70,6,1,0,0,1,5,0,0,0
Problem 3,B,B15,284,4,1,2,0,4,0,0,1,0
Problem 4,B,B15,69,2,1,1,0,2,0,0,1,0
Problem 5,B,B15,77,4,1,3,0,4,0,0,1,0
Problem 1,A,B16,78,4,1,0,0,1,2,1,1,0
Problem 2,A,B16,93,4,1,0,0,1,2,1,1,0
Problem 3,A,B16,99,6,1,0,0,4,0,2,1,0
Problem 4,A,B16,188,8,1,0,0,6,0,2,0,0
Problem 5,C,B16,257,9,2,0,1,7,0,2,0,0
Problem 1,A,B17,28,3,1,0,0,2,1,0,1,0
Problem 2,A,B17,34,3,1,0,0,1,2,0,0,0
Problem 3,C,B17,60,4,2,0,1,1,2,1,1,0
Problem 4,C,B17,224,6,3,0,1,2,2,2,1,0
Problem 5,C,B17,258,6,5,0,1,2,2,2,1,0
Problem 1,B,B18,82,2,1,1,0,2,0,0,1,0
Problem 2,A,B18,165,2,1,0,0,2,0,0,1,0
Problem 3,B,B18,264,5,1,4,0,5,0,0,1,0
Problem 4,A,B18,44,7,1,0,0,7,0,0,0,0
Problem 5,B,B18,96,8,1,4,0,6,1,1,0,0
Problem 1,A,B19,20,2,1,0,0,1,1,0,1,0
Problem 2,B,B19,85,3,1,1,0,0,2,1,1,0
Problem 3,A,B19,101,1,1,0,0,1,0,0,1,0
Problem 4,B,B19,432,14,2,2,0,9,2,3,0,0
Problem 5,A,B19,128,4,1,0,0,4,0,0,0,0
Problem 1,A,B20,28,1,1,0,0,0,1,0,1,0
Problem 2,A,B20,68,2,1,0,0,1,1,0,1,0
Problem 3,B,B20,136,4,2,1,0,4,0,0,1,0
Problem 4,B,B20,294,12,2,5,0,9,2,1,0,0
Problem 5,B,B20,118,5,1,3,0,4,1,0,0,0
Problem 1,A,B21,37,3,1,0,0,1,1,1,1,0
Problem 2,A,B21,96,2,1,0,0,1,1,0,1,0
Problem 3,A,B21,75,3,1,0,0,2,1,0,0,0
Problem 4,B,B21,262,11,2,2,0,4,4,3,1,0
Problem 5,A,B21,87,3,1,0,0,2,1,0,1,0
Problem 1,B,B22,96,8,1,2,0,3,4,1,1,0
Problem 2,B,B22,88,4,1,1,0,1,3,0,1,0
Problem 3,B,B22,494,16,4,14,0,16,0,0,0,0
Problem 4,B,B22,163,8,1,5,0,6,1,1,0,0
Problem 5,C,B22,125,6,2,5,1,6,0,0,0,0
Problem 1,A,B23,28,2,1,0,0,0,1,1,1,0
Problem 2,A,B23,143,8,6,0,0,6,1,1,1,0
Problem 3,A,B23,19,1,2,0,0,0,1,0,0,0
Problem 4,D,B23,187,6,11,0,0,5,0,1,1,15
Problem 5,A,B23,86,2,4,0,0,1,0,1,1,0
Problem 1,A,B24,40,2,1,0,0,1,1,0,1,0
Problem 2,A,B24,87,4,1,0,0,2,1,1,0,0
Problem 3,A,B24,232,4,5,0,0,1,2,1,1,0
Problem 4,B,B24,184,12,4,8,0,10,1,1,1,0
Problem 5,A,B24,26,1,1,0,0,1,0,0,1,0
Problem 1,A,B26,49,4,1,0,0,2,0,2,1,0
Problem 2,A,B26,84,2,1,0,0,0,1,1,0,0
Problem 3,A,B26,17,1,1,0,0,1,0,0,0,0
Problem 4,A,B26,156,5,2,0,0,1,3,1,0,0
Problem 5,A,B26,43,1,1,0,0,1,0,0,0,0
Problem 1,A,B27,19,1,1,0,0,0,1,0,1,0
Problem 2,B,B27,282,6,1,1,0,3,3,0,1,0
Problem 3,A,B27,138,3,1,0,0,1,2,0,0,0
Problem 4,C,B27,645,10,12,2,1,5,3,2,1,0
Problem 5,C,B27,530,10,13,2,1,5,3,2,1,0
Problem 1,A,B28,161,2,1,0,0,1,1,0,1,0
Problem 2,A,B28,105,4,1,0,0,1,2,1,1,0
Problem 3,A,B28,67,1,1,0,0,1,0,0,0,0
Problem 4,A,B28,94,7,1,0,0,3,2,2,0,0
Problem 5,A,B28,14,1,1,0,0,1,0,0,0,0
Problem 1,A,B29,48,3,1,0,0,1,1,1,1,0
Problem 2,A,B29,130,5,2,0,0,2,3,0,0,0
Problem 3,A,B29,118,4,1,0,0,4,0,0,0,0
Problem 4,A,B29,199,6,1,0,0,6,0,0,1,0
Problem 5,A,B29,56,1,1,0,0,1,0,0,1,0
Problem 1,B,B30,271,6,2,3,0,4,1,1,1,0
Problem 2,A,B30,213,6,2,0,0,2,3,1,1,0
Problem 3,A,B30,6,0,0,0,0,0,0,0,1,0
Problem 4,A,B30,19,1,1,0,0,1,0,0,1,0
Problem 5,A,B30,9,0,0,0,0,0,0,0,1,0
Problem 1,A,B31,27,2,1,0,0,1,1,0,1,0
Problem 2,A,B31,28,2,1,0,0,1,1,0,1,0
Problem 3,C,B31,206,4,1,3,1,4,0,0,1,0
Problem 4,B,B31,108,7,1,5,0,6,1,0,1,0
Problem 5,B,B31,90,6,1,4,0,5,1,0,0,0
Problem 1,A,B32,38,2,1,0,0,0,2,0,1,0
Problem 2,A,B32,170,9,1,0,0,1,7,1,0,0
Problem 3,B,B32,253,4,3,3,0,4,0,0,1,0
Problem 4,B,B32,221,8,1,5,0,7,1,0,1,0
Problem 5,A,B32,100,1,1,0,0,1,0,0,1,0
Problem 1,A,B33,42,1,1,0,0,0,1,0,1,0
Problem 2,A,B33,55,4,1,0,0,1,1,2,0,0
Problem 3,B,B33,73,5,1,2,0,4,0,1,0,0
Problem 4,B,B33,215,7,10,5,0,6,0,1,1,0
Problem 5,A,B33,25,1,1,0,0,1,0,0,1,0
