problem,group,user,logs,units,annotation,unit branch,session branch,Parallel Coordinate Plot,Scatter Plot,Scatterplot Matrix,Accuracy,restore,time,ses_name
Problem 4,B,S18,478,4,11,2,0,4,0,0,1,0,0:18:39,Problem4
Problem 5,C,S18,46,4,4,2,1,4,0,0,1,0,0:03:19,Problem5
Problem 1,A,S19,72,2,1,0,0,1,0,1,1,0,0:03:47,Problem1
Problem 2,A,S19,78,3,1,0,0,1,1,1,0,0,0:03:47,Problem2
Problem 3,A,S19,255,1,2,0,0,1,0,0,1,0,0:02:22,Problem3
Problem 4,C,S19,463,4,3,3,1,4,0,0,1,0,0:08:11,Problem4
Problem 5,A,S19,159,1,1,0,0,1,0,0,1,0,0:01:48,Problem5
Problem 1,B,S20,161,4,1,1,0,1,2,1,1,0,0:09:26,Problem1
Problem 2,A,S20,42,2,1,0,0,1,1,0,1,0,0:03:50,Problem2
Problem 3,B,S20,52,5,1,3,0,4,0,1,1,0,0:05:09,Problem3
Problem 4,B,S20,234,5,7,3,0,4,0,1,1,0,0:15:56,Problem4
Problem 5,C,S20,79,5,1,3,1,4,0,1,1,0,0:01:52,Problem5
Problem 1,A,S21,132,2,1,0,0,0,2,0,1,0,0:03:03,Problem1
Problem 2,A,S21,128,3,1,0,0,2,1,0,0,0,0:04:13,Problem2
Problem 3,B,S21,127,6,1,4,0,5,0,1,1,0,0:06:27,Problem3
Problem 4,B,S21,271,10,9,5,0,9,1,0,1,0,0:13:32,Problem4
Problem 5,A,S21,216,1,2,0,0,1,0,0,1,0,0:02:39,Problem5
Problem 1,A,S22,100,3,1,0,0,2,1,0,1,0,0:06:16,Problem1
Problem 2,A,S22,93,4,1,0,0,1,2,1,1,0,0:09:43,Problem2
Problem 3,B,S22,855,13,1,9,0,2,11,0,1,0,0:18:11,Problem3
Problem 4,A,S22,80,2,1,0,0,1,1,0,1,0,0:06:11,Problem4
Problem 5,B,S22,236,12,10,7,0,2,10,0,1,0,0:12:48,Problem5
Problem 1,A,S23,53,2,1,0,0,1,0,1,1,0,0:02:56,Problem1
Problem 2,C,S23,32,3,1,0,1,1,1,1,0,0,0:02:04,Problem2
Problem 3,C,S23,185,7,2,3,1,4,1,2,1,0,0:01:34,Problem3
Problem 4,C,S23,116,10,6,6,1,7,1,2,1,0,0:30:42,Problem4
Problem 5,B,S23,65,4,5,2,0,3,0,1,1,0,0:03:04,Problem5
Problem 1,A,S24,92,3,1,0,0,1,1,1,1,0,0:09:03,Problem 1
Problem 2,A,S24,652,3,1,0,0,1,2,0,1,0,0:06:40,Problem2
Problem 3,C,S24,83,1,4,0,1,1,0,0,1,0,0:04:34,Problem 3
Problem 4,C,S24,1164,2,8,0,1,2,0,0,0,0,0:10:38,Problem 4
Problem 5,A,S24,48,1,1,0,0,1,0,0,0,0,0:01:55,Problem 5
Problem 1,B,S25,359,3,1,1,0,1,2,0,1,0,0:08:19,Problem1
Problem 2,A,S25,43,2,1,0,0,1,1,0,0,0,0:02:19,Problem2
Problem 3,B,S25,106,7,1,3,0,7,0,0,1,0,0:04:34,Problem3
Problem 4,A,S25,40,1,7,0,0,1,0,0,1,0,0:01:43,Problem4
Problem 5,B,S25,75,6,1,5,0,6,0,0,1,0,0:02:09,Problem5
Problem 1,A,S26,44,2,1,0,0,0,1,1,1,0,0:01:50,Problem1
Problem 2,A,S26,44,2,1,0,0,1,1,0,1,0,0:01:59,Problem2
Problem 3,C,S26,47,2,1,0,1,1,1,0,1,0,0:02:35,Problem3
Problem 4,C,S26,115,3,11,0,1,1,1,1,1,0,0:08:39,Problem4
Problem 5,C,S26,35,3,4,0,1,1,1,1,1,0,0:02:00,Problem5
Problem 1,A,S27,62,2,1,0,0,1,0,1,1,0,0:02:34,Problem1
Problem 2,A,S27,221,1,1,0,0,1,0,0,0,0,0:03:15,Problem2
Problem 3,A,S27,234,2,1,0,0,1,1,0,1,0,0:03:49,Problem3
Problem 4,A,S27,265,1,1,0,0,1,0,0,1,0,0:03:51,Problem4
Problem 5,A,S27,203,1,1,0,0,1,0,0,1,0,0:01:14,Problem5
Problem 1,A,S28,66,2,1,0,0,0,1,1,1,0,0:08:22,problem1
Problem 2,B,S28,71,2,1,1,0,2,0,0,0,0,0:05:54,problem1
Problem 3,A,S28,139,1,1,0,0,1,0,0,1,0,0:04:06,problem3
Problem 4,B,S28,135,7,1,6,0,7,0,0,1,0,0:07:42,problem4
Problem 5,C,S28,173,7,5,6,1,7,0,0,1,0,0:05:04,problem5
Problem 1,A,S29,75,2,1,0,0,1,0,1,1,0,0:03:47,Problem1
Problem 2,A,S29,93,2,1,0,0,1,0,1,1,0,0:03:57,Problem2
Problem 3,A,S29,35,2,1,0,0,1,0,1,1,0,0:01:55,Problem3
Problem 4,A,S29,56,3,1,0,0,1,0,2,1,0,0:05:03,Problem4
Problem 5,A,S29,359,2,1,0,0,1,1,0,0,0,0:08:27,Problem5
Problem 1,A,S30,180,3,2,0,0,2,1,0,1,0,0:04:33,Problem1
Problem 2,C,S30,237,7,1,0,1,4,3,0,1,0,0:06:37,Problem2
Problem 3,A,S30,71,1,2,0,0,1,0,0,1,0,0:01:09,Problem3
Problem 4,C,S30,218,3,1,0,1,2,0,1,1,0,0:07:07,Problem4
Problem 5,A,S30,32,1,1,0,0,1,0,0,1,0,0:01:56,Problem5
Problem 1,A,S31,268,5,1,0,0,1,3,1,1,0,0:06:43,PROBLEM1
Problem 2,A,S31,85,3,1,0,0,1,1,1,1,0,0:03:47,PROBLEM2
Problem 3,A,S31,318,5,1,0,0,2,2,1,0,0,0:11:05,PROBLEM3
Problem 4,A,S31,263,2,2,0,0,1,0,1,1,0,0:05:45,PROBLEM4
Problem 5,A,S31,181,2,1,0,0,1,1,0,1,0,0:09:24,PROBLEM5
Problem 1,A,S32,53,2,1,0,0,1,0,1,0,0,0:03:15,PROBLEM 1
Problem 2,A,S32,66,1,1,0,0,1,0,0,1,0,0:02:01,PROBLEM 2
Problem 3,A,S32,43,1,1,0,0,1,0,0,1,0,0:03:09,PROBLEM 3
Problem 4,C,S32,28,1,1,0,1,1,0,0,1,0,0:03:25,PROBLEM 4
Problem 5,A,S32,44,1,1,0,0,1,0,0,0,0,0:01:43,PROBLEM 5
Problem 1,A,S33,134,3,1,0,0,1,1,1,1,0,0:05:13,Problem1
Problem 2,A,S33,38,2,1,0,0,1,1,0,1,0,0:01:33,Problem2
Problem 3,A,S33,109,1,2,0,0,1,0,0,1,0,0:03:40,Problem3
Problem 4,A,S33,267,12,7,0,0,11,0,1,1,0,0:12:15,Problem4
Problem 5,C,S33,208,12,4,0,1,11,0,1,1,0,0:06:29,Problem5
Problem 1,B,S34,65,4,1,1,0,1,2,1,1,0,0:08:38,Problem1
Problem 2,B,S34,77,4,1,1,0,2,1,1,1,0,0:06:28,Problem2
Problem 3,A,S34,61,2,1,0,0,1,0,1,1,0,0:05:59,Problem3
Problem 4,B,S34,141,6,1,1,0,5,0,1,1,0,0:09:02,Problem4
Problem 5,A,S34,90,1,1,0,0,1,0,0,1,0,0:03:37,Problem5
Problem 1,A,S36,22,1,1,0,0,0,1,0,1,0,0:01:14,Problem1
Problem 2,A,S36,137,3,1,0,0,1,2,0,1,0,0:11:00,Problem2
Problem 3,B,S36,72,5,1,1,0,5,0,0,1,0,0:03:51,Problem3
Problem 4,B,S36,149,9,11,7,0,9,0,0,1,0,0:12:17,Problem4
Problem 5,B,S36,82,5,1,3,0,5,0,0,0,0,0:04:19,Problem5
Problem 1,A,S37,255,4,2,0,0,2,0,2,0,0,0:04:42,PROBLEM1
Problem 2,A,S37,59,1,1,0,0,1,0,0,0,0,0:05:00,PROBLEM2
Problem 3,A,S37,34,1,1,0,0,1,0,0,1,0,0:02:40,PROBLEM3
Problem 4,A,S37,47,1,1,0,0,1,0,0,1,0,0:03:49,PROBLEM4
Problem 5,A,S37,34,1,1,0,0,1,0,0,0,0,0:01:29,PROBLEM5
