problem,group,user,logs,units,annotation,unit branch,session branch,Parallel Coordinate Plot,Scatter Plot,Scatterplot Matrix,Accuracy,restore
Problem 3,A,A8,49,3,1,0,0,1,0,2,0,0
Problem 4,A,A8,292,6,9,0,0,3,2,1,0,0
Problem 5,A,A8,320,5,4,0,0,4,0,1,0,0
Problem 1,E,A9,63,6,1,0,0,2,3,1,1,0
Problem 2,E,A9,31,2,1,0,0,1,1,0,0,0
Problem 3,B,A9,297,15,1,3,0,11,0,4,1,0
Problem 4,E,A9,375,5,1,0,0,4,0,1,1,0
Problem 5,E,A9,61,3,1,0,0,3,0,0,1,0
Problem 1,E,A11,50,4,1,0,0,2,1,1,1,0
Problem 2,B,A11,174,12,1,4,0,2,3,7,1,0
Problem 3,E,A11,14,1,1,0,0,1,0,0,0,0
Problem 4,E,A11,25,2,1,0,0,1,0,1,0,0
Problem 5,E,A11,22,1,1,0,0,1,0,0,0,0
Problem 1,E,A12,212,3,1,0,0,1,1,1,1,0
Problem 2,B,A12,677,8,5,1,0,3,3,2,1,0
Problem 3,E,A12,54,2,1,0,0,1,0,1,1,0
Problem 4,E,A12,388,1,1,0,0,1,0,0,1,0
Problem 5,E,A12,99,1,1,0,0,1,0,0,1,0
Problem 1,A,A13,93,2,1,0,0,1,1,0,1,0
Problem 2,A,A13,40,2,1,0,0,1,1,0,1,0
Problem 3,A,A13,162,5,1,0,0,2,3,0,1,0
Problem 4,A,A13,229,2,6,0,0,1,1,0,1,0
Problem 5,A,A13,34,1,1,0,0,1,0,0,1,0
Problem 1,A,A14,137,1,1,0,0,0,1,0,1,0
Problem 2,A,A14,226,5,2,0,0,1,3,1,1,0
Problem 3,A,A14,45,1,1,0,0,1,0,0,0,0
Problem 4,A,A14,397,1,5,0,0,1,0,0,1,0
Problem 5,A,A14,100,1,2,0,0,1,0,0,1,0
Problem 1,A,A15,156,3,1,0,0,1,1,1,1,0
Problem 2,A,A15,287,2,1,0,0,1,1,0,0,0
Problem 3,A,A15,351,1,2,0,0,1,0,0,1,0
Problem 4,A,A15,312,3,1,0,0,1,0,2,0,0
Problem 5,A,A15,131,9,2,0,0,4,0,5,0,0
Problem 1,A,A16,73,3,1,0,0,1,1,1,1,0
Problem 2,A,A16,32,2,1,0,0,0,2,0,0,0
Problem 3,A,A16,96,1,1,0,0,1,0,0,0,0
Problem 4,A,A16,272,4,1,0,0,4,0,0,0,0
Problem 5,A,A16,81,2,1,0,0,1,0,1,0,0
Problem 1,A,A18,111,1,1,0,0,1,0,0,1,0
Problem 2,A,A18,92,5,1,0,0,3,1,1,0,0
Problem 3,A,A18,151,1,1,0,0,0,1,0,1,0
Problem 4,A,A18,336,5,1,0,0,1,3,1,0,0
Problem 5,A,A18,60,1,1,0,0,1,0,0,0,0
Problem 1,A,A19,25,2,1,0,0,0,2,0,1,0
Problem 2,A,A19,25,2,1,0,0,0,2,0,0,0
Problem 3,A,A19,23,1,1,0,0,0,1,0,0,0
Problem 4,A,A19,60,6,1,0,0,1,4,1,1,0
Problem 5,A,A19,46,2,1,0,0,1,1,0,1,0
Problem 1,A,A20,13,1,1,0,0,0,1,0,1,0
Problem 2,A,A20,17,1,1,0,0,0,0,1,1,0
Problem 3,A,A20,130,1,1,0,0,1,0,0,1,0
Problem 4,A,A20,290,5,9,0,0,4,0,1,0,0
Problem 5,A,A20,15,1,1,0,0,1,0,0,0,0
Problem 1,B,A21,220,14,7,1,0,7,6,1,1,0
Problem 2,E,A21,107,6,2,0,0,3,2,1,1,0
Problem 3,E,A21,96,2,2,0,0,2,0,0,1,0
Problem 4,E,A21,105,2,7,0,0,1,1,0,1,0
Problem 5,E,A21,104,6,1,0,0,1,5,0,1,0
Problem 1,A,A22,31,3,1,0,0,1,1,1,1,0
Problem 2,A,A22,259,3,1,0,0,1,1,1,1,0
Problem 3,A,A22,38,1,1,0,0,1,0,0,0,0
Problem 4,A,A22,87,6,1,0,0,6,0,0,1,0
Problem 5,A,A22,43,5,1,0,0,5,0,0,1,0
Problem 1,B,B4,28,3,1,1,0,1,2,0,1,0
Problem 2,E,B4,222,3,1,0,0,1,1,1,1,0
Problem 3,E,B4,130,5,1,0,0,3,2,0,1,0
Problem 4,E,B4,205,6,2,0,0,3,2,1,1,0
Problem 5,B,B4,391,6,1,3,0,6,0,0,1,0
Problem 1,E,B12,69,6,1,0,0,3,2,1,1,0
Problem 2,E,B12,51,4,1,0,0,2,1,1,1,0
Problem 3,E,B12,16,1,1,0,0,1,0,0,1,0
Problem 4,E,B12,40,3,1,0,0,2,0,1,1,0
Problem 5,E,B12,17,1,1,0,0,1,0,0,1,0
Problem 1,E,B13,34,1,1,0,0,1,0,0,1,0
Problem 2,E,B13,485,2,4,0,0,2,0,0,1,0
Problem 3,E,B13,15,1,1,0,0,1,0,0,0,0
Problem 4,E,B13,44,1,2,0,0,1,0,0,0,0
Problem 5,B,B13,396,17,3,1,0,8,8,1,1,0
Problem 1,E,B14,54,4,1,0,0,1,2,1,1,0
Problem 2,B,B14,83,4,1,1,0,1,3,0,0,0
Problem 3,E,B14,114,3,4,0,0,3,0,0,1,0
Problem 4,B,B14,166,11,12,6,0,10,0,1,1,0
Problem 5,E,B14,36,1,1,0,0,1,0,0,1,0
Problem 1,E,B15,45,3,1,0,0,1,1,1,1,0
Problem 2,E,B15,63,6,1,0,0,1,5,0,0,0
Problem 3,B,B15,124,4,1,2,0,4,0,0,1,0
Problem 4,B,B15,51,2,1,1,0,2,0,0,1,0
Problem 5,B,B15,54,4,1,3,0,4,0,0,1,0
Problem 1,E,B16,73,4,1,0,0,1,2,1,1,0
Problem 2,E,B16,87,4,1,0,0,1,2,1,1,0
Problem 3,E,B16,92,6,1,0,0,4,0,2,1,0
Problem 4,E,B16,177,8,1,0,0,6,0,2,0,0
Problem 5,C,B16,77,9,2,0,1,7,0,2,0,0
Problem 1,E,B17,25,3,1,0,0,2,1,0,1,0
Problem 2,E,B17,34,3,1,0,0,1,2,0,0,0
Problem 3,C,B17,35,4,2,0,1,1,2,1,1,0
Problem 4,C,B17,171,6,3,0,1,2,2,2,1,0
Problem 5,C,B17,42,6,5,0,1,2,2,2,1,0
Problem 1,B,B18,68,2,1,1,0,2,0,0,1,0
Problem 2,E,B18,159,2,1,0,0,2,0,0,1,0
Problem 3,B,B18,114,5,1,4,0,5,0,0,1,0
Problem 4,E,B18,40,7,1,0,0,7,0,0,0,0
Problem 5,B,B18,66,8,1,4,0,6,1,1,0,0
Problem 1,E,B19,17,2,1,0,0,1,1,0,1,0
Problem 2,B,B19,64,3,1,1,0,0,2,1,1,0
Problem 3,E,B19,96,1,1,0,0,1,0,0,1,0
Problem 4,B,B19,393,14,2,2,0,9,2,3,0,0
Problem 5,E,B19,124,4,1,0,0,4,0,0,0,0
Problem 1,E,B20,24,1,1,0,0,0,1,0,1,0
Problem 2,E,B20,65,2,1,0,0,1,1,0,1,0
Problem 3,B,B20,87,4,2,1,0,4,0,0,1,0
Problem 4,B,B20,249,12,2,5,0,9,2,1,0,0
Problem 5,B,B20,80,5,1,3,0,4,1,0,0,0
Problem 1,E,B21,28,3,1,0,0,1,1,1,1,0
Problem 2,E,B21,76,2,1,0,0,1,1,0,1,0
Problem 3,E,B21,61,3,1,0,0,2,1,0,0,0
Problem 4,B,B21,229,11,2,2,0,4,4,3,1,0
Problem 5,E,B21,62,3,1,0,0,2,1,0,1,0
Problem 1,B,B22,73,8,1,2,0,3,4,1,1,0
Problem 2,B,B22,76,4,1,1,0,1,3,0,1,0
Problem 3,B,B22,98,16,4,14,0,16,0,0,0,0
Problem 4,B,B22,82,8,1,5,0,6,1,1,0,0
Problem 5,C,B22,5,6,2,5,1,6,0,0,0,0
Problem 1,E,B23,25,2,1,0,0,0,1,1,1,0
Problem 2,E,B23,135,8,6,0,0,6,1,1,1,0
Problem 3,E,B23,13,1,2,0,0,0,1,0,0,0
Problem 4,D,B23,167,6,11,0,0,5,0,1,1,15
Problem 5,E,B23,67,2,4,0,0,1,0,1,1,0
Problem 1,E,B24,37,2,1,0,0,1,1,0,1,0
Problem 2,E,B24,81,4,1,0,0,2,1,1,0,0
Problem 3,E,B24,225,4,5,0,0,1,2,1,1,0
Problem 4,B,B24,109,12,4,8,0,10,1,1,1,0
Problem 5,E,B24,16,1,1,0,0,1,0,0,1,0
Problem 1,E,B26,41,4,1,0,0,2,0,2,1,0
Problem 2,E,B26,76,2,1,0,0,0,1,1,0,0
Problem 3,E,B26,14,1,1,0,0,1,0,0,0,0
Problem 4,E,B26,152,5,2,0,0,1,3,1,0,0
Problem 5,E,B26,37,1,1,0,0,1,0,0,0,0
Problem 1,E,B27,15,1,1,0,0,0,1,0,1,0
Problem 2,B,B27,221,6,1,1,0,3,3,0,1,0
Problem 3,E,B27,134,3,1,0,0,1,2,0,0,0
Problem 4,C,B27,261,10,12,2,1,5,3,2,1,0
Problem 5,C,B27,45,10,13,2,1,5,3,2,1,0
Problem 1,E,B28,157,2,1,0,0,1,1,0,1,0
Problem 2,E,B28,102,4,1,0,0,1,2,1,1,0
Problem 3,E,B28,64,1,1,0,0,1,0,0,0,0
Problem 4,E,B28,91,7,1,0,0,3,2,2,0,0
Problem 5,E,B28,9,1,1,0,0,1,0,0,0,0
Problem 1,E,B29,42,3,1,0,0,1,1,1,1,0
Problem 2,E,B29,124,5,2,0,0,2,3,0,0,0
Problem 3,E,B29,109,4,1,0,0,4,0,0,0,0
