problem,group,user,logs,units,annotation,unit branch,session branch,Parallel Coordinate Plot,Scatter Plot,Scatterplot Matrix,Accuracy,second,confidence
Problem 5,B,S25,75,6,1,5,0,6,0,0,1,129 ,7
Problem 1,B,S26,44,2,1,0,0,0,1,1,1,110 ,6
Problem 2,B,S26,44,2,1,0,0,1,1,0,1,119 ,5
Problem 3,B,S26,47,2,1,0,1,1,1,0,1,155 ,7
Problem 4,B,S26,115,3,11,0,1,1,1,1,1,519 ,6
Problem 5,B,S26,35,3,4,0,1,1,1,1,1,120 ,7
Problem 1,B,S27,62,2,1,0,0,1,0,1,1,154 ,7
Problem 2,B,S27,221,1,1,0,0,1,0,0,0,195 ,7
Problem 3,B,S27,234,2,1,0,0,1,1,0,1,229 ,7
Problem 4,B,S27,265,1,1,0,0,1,0,0,1,231 ,7
Problem 5,B,S27,203,1,1,0,0,1,0,0,1,74 ,7
Problem 1,B,S28,66,2,1,0,0,0,1,1,1,502 ,6
Problem 2,B,S28,71,2,1,1,0,2,0,0,0,354 ,5
Problem 3,B,S28,139,1,1,0,0,1,0,0,1,246 ,5
Problem 4,B,S28,135,7,1,6,0,7,0,0,1,462 ,6
Problem 5,B,S28,173,7,5,6,1,7,0,0,1,304 ,7
Problem 1,B,S29,75,2,1,0,0,1,0,1,1,227 ,7
Problem 2,B,S29,93,2,1,0,0,1,0,1,1,237 ,7
Problem 3,B,S29,35,2,1,0,0,1,0,1,1,115 ,7
Problem 4,B,S29,56,3,1,0,0,1,0,2,1,303 ,7
Problem 5,B,S29,359,2,1,0,0,1,1,0,0,507 ,7
Problem 1,B,S30,180,3,2,0,0,2,1,0,1,273 ,7
Problem 2,B,S30,237,7,1,0,1,4,3,0,1,397 ,7
Problem 3,B,S30,71,1,2,0,0,1,0,0,1,69 ,7
Problem 4,B,S30,218,3,1,0,1,2,0,1,1,427 ,5
Problem 5,B,S30,32,1,1,0,0,1,0,0,1,116 ,5
Problem 1,B,S31,268,5,1,0,0,1,3,1,1,403 ,6
Problem 2,B,S31,85,3,1,0,0,1,1,1,1,227 ,7
Problem 3,B,S31,318,5,1,0,0,2,2,1,0,665 ,7
Problem 4,B,S31,263,2,2,0,0,1,0,1,1,345 ,7
Problem 5,B,S31,181,2,1,0,0,1,1,0,1,564 ,5
Problem 1,B,S32,53,2,1,0,0,1,0,1,0,195 ,5
Problem 2,B,S32,66,1,1,0,0,1,0,0,1,121 ,6
Problem 3,B,S32,43,1,1,0,0,1,0,0,1,189 ,6
Problem 4,B,S32,28,1,1,0,1,1,0,0,1,205 ,5
Problem 5,B,S32,44,1,1,0,0,1,0,0,0,103 ,5
Problem 1,B,S33,134,3,1,0,0,1,1,1,1,283 ,6
Problem 2,B,S33,38,2,1,0,0,1,1,0,1,93 ,6
Problem 3,B,S33,109,1,2,0,0,1,0,0,1,220 ,5
Problem 4,B,S33,267,12,7,0,0,11,0,1,1,735 ,5
Problem 5,B,S33,208,12,4,0,1,11,0,1,1,389 ,5
Problem 1,B,S34,65,4,1,1,0,1,2,1,1,414 ,5
Problem 2,B,S34,77,4,1,1,0,2,1,1,1,363 ,4
Problem 3,B,S34,61,2,1,0,0,1,0,1,1,359 ,6
