tag,min,max,mid
BE TT15A XQ01,483,,
BE TT15B XQ01,483,,
BE TT15C XQ01,483,,
BE TT15D XQ01,483,,
BE TT15G XQ01,483,,
BE TT16A XQ01,483,,
BE TT16B XQ01,483,,
BE TT16C XQ01,483,,
BE TT16D XQ01,483,,
BE TT16G XQ01,483,,
BE TT17A XQ01,483,,
BE TT17B XQ01,483,,
BE TT17C XQ01,483,,
BE TT17D XQ01,483,,
BE TT18A XQ01,483,,
BE TT18B XQ01,483,,
BE TT18C XQ01,483,,
BE TT18D XQ01,483,,
CR TT55A M XM24,410,,
CR TT55A M XQ03,410,,
CR TT55A XQ01,410,,
CR TT55B M XM24,410,,
CR TT55B M XQ03,410,,
CR TT55B XQ01,410,,
CR TT55C M XM24,410,,
CR TT55C M XQ03,410,,
CR TT55C XQ01,410,,
CR TT55D M XM24,410,,
CR TT55D M XQ03,410,,
CR TT55D XQ01,410,,
CR TT56A XQ01,410,,
CR TT56B XQ01,410,,
CR TT56C XQ01,410,,
CR TT56D XQ01,410,,
BE LT01 XQ01,16,,
BE LT02 XQ01,16,,
FW-PSH01A-M,388,,
FW-PSH01A:TRP,388,,
FW-PSH02A,388,,
FW-PSH03A,388,,
DW-PSLL01A,,0.6,
DW-PSLL02A,,0.6,
DW-PSLLA:TRP,,0.6,
DW-PSLLB:TRP,,0.6,
FP-XAPSA:TRP,,0.7,
FP-XAPS123-LL,,0.7,
FP-XAPS124-LL,,0.7,
FP-XAPS125-LL,,0.7,
AT-APSLL501,,0.7,
AT-APSLL5011,,0.7,
AT-APSLL5012,,0.7,
FP-XATE101,85,,
FP-XATE101-H,85,,
FP-XATE102,85,,
FP-XATE102-H,85,,
FP-XATE105,85,,
FP-XATE106,85,,
FP-XATE107,85,,
FP-XATE108,85,,
FP-XATE109,120,,
FP-XATE110,120,,
FP-XATE103,95,,
FP-XATE104,95,,
FP-XATE201,85,,
FP-XATE202,85,,
FP-XATE203,85,,
FP-XATE204,85,,
FP-XATE401,85,,
FP-XATE402,85,,
FP-XATE403,85,,
FP-XATE405,120,,
FP-XATE406,120,,
HE-LT01,,1171,
HE-LT01-C,,1171,
HE-LT01-MC,,1171,
HE-LT02,,1171,
HE-LT02-C,,1171,
AT-ARSPR:CS,,,6720
AT-APSHH401,-445,,
AT-APSHH4011,-445,,
AT-APSHH4012,-445,,
FP-XAYT131,90,,
FP-XAYT132,90,,
FP-XAYT133,90,,
FP-XAYT134,90,,
FP-XAYT135,-1000,1000,
FP-XAYT136,-1000,1000,
FP-XAYT231,10,,
FP-XAYT232,10,,
FP-XAYT431,90,,
FP-XAYT432,90,,
FP-XAYT433,90,,
FP-XAYT434,90,,
FP-XAYT435,-1000,1000,
FP-XAYT436,-1000,1000,
PA-XAPS003-LL,,1,
PA-XALS001-L,,214,
PA-XALS001-LL,,214,
PA-XATE004,90,,
PA-XATE005,90,,
PA-XATE006,85,,
PA-XATE007,85,,
PA-XATE008,85,,
PA-XATE009,85,,
PA-XACY001-HH,315,,
PA-XACY003-HH,315,,
PA-XACY-001,315,,
PA-XACY-002,315,,
PA-XACY-003,315,,
PA-XACY-004,315,,
PA-XACY005-HH,370,,
PA-XACY007-HH,370,,
PA-XACY-005,370,,
PA-XACY-006,370,,
PA-XACY-007,370,,
PA-XACY-008,370,,
FG-XAPP01-R,,5,
FG-XAPP02-R,,5,
FG-XAPS003-LL,,5,
FG-XATE003,85,,
FG-XATE005,85,,
FG-XATE006,85,,
FG-XATE009,85,,
FG-XATE010,85,,
FG-XATE011,85,,
FG-XATE012,85,,
FG-XALOT,,273,
FG-XALS001-L,,273,
FG-XALS001-LL,,273,
FG-XAMBLOSP-A,,273,
BF-PT01,80,,
BF-PT02,80,,
BF-PT03,80,,
SA-XAPS003-LL,,5,
SA-XATE003,100,,
SA-XATE005,100,,
SA-XATE006,100,,
SA-XATE009,90,,
SA-XATE010,90,,
SA-XATE011,90,,
SA-XATE012,90,,
SA-XALOT,,211,
SA-XALS001-L,,211,
SA-XALS001-LL,,211,
SA-XACY-003,500,,
SA-XACY-004,500,,
SA-XACY-005,500,,
SA-XACY-006,500,,
BF-PT01,254,,
BF-PT02,,-178,
BF-PT03,,-178,
FW-FT01,333.5,,
MS-TE51A,570,,
MS-TE52A,570,,
MS-TE53A,570,,
MS-TE54A,570,,
MS-TE55A,570,,
MS-TE56A,570,,
MS-TE57A,570,,
MS-TE58A,570,,
HR-TE51A,570,,
HR-TE52A,570,,
HR-TE53A,570,,
HR-TE54A,570,,
HR-TE55A,570,,
HR-TE56A,570,,
HR-TE57A,570,,
HR-TE58A,570,,
BE-TE01A,500,,
BE-TE01C,500,,
BE-TE01D,500,,
BE-TE01E,500,,
BE-TE01G,500,,
BE-TE02A,500,,
BE-TE02C,500,,
BE-TE02D,500,,
BE-TE02E,500,,
BE-TE02G,500,,
BE-TE03A,500,,
BE-TE03C,500,,
BE-TE03D,500,,
BE-TE03E,500,,
BE-TE03G,500,,
BE-TE04A,500,,
BE-TE04C,500,,
BE-TE04D,500,,
BE-TE04E,500,,
BE-TE04G,500,,
BE-TE05A,500,,
BE-TE05C,500,,
BE-TE05D,500,,
BE-TE05E,500,,
BE-TE05G,500,,
BE-TE06A,500,,
BE-TE06C,500,,
BE-TE06D,500,,
BE-TE06E,500,,
BE-TE06G,500,,
BE-TE07A,500,,
BE-TE07C,500,,
BE-TE07D,500,,
BE-TE07E,500,,
BE-TE08A,500,,
BE-TE08C,500,,
BE-TE08D,500,,
BE-TE08E,500,,
BE-TE09A,500,,
BE-TE09C,500,,
BE-TE09D,500,,
BE-TE09E,500,,
BE-TE10A,500,,
BE-TE10C,500,,
BE-TE10D,500,,
BE-TE10E,500,,
BE-TE11A,500,,
BE-TE11C,500,,
BE-TE11D,500,,
BE-TE11E,500,,
BE-TE11G,500,,
BE-TE12A,500,,
BE-TE12C,500,,
BE-TE12D,500,,
BE-TE12E,500,,
BE-TE12G,500,,
BE-TE13A,500,,
BE-TE13C,500,,
BE-TE13D,500,,
BE-TE13E,500,,
BE-TE13G,500,,
BE-TE14A,500,,
BE-TE14C,500,,
BE-TE14D,500,,
BE-TE14E,500,,
BE-TE14G,500,,
BE-TE15A,500,,
BE-TE15C,500,,
BE-TE15D,500,,
BE-TE15E,500,,
BE-TE15G,500,,
BE-TE16A,500,,
BE-TE16C,500,,
BE-TE16D,500,,
BE-TE16E,500,,
BE-TE16G,500,,
BE-TE17A,500,,
BE-TE17C,500,,
BE-TE17D,500,,
BE-TE18A,500,,
BE-TE18C,500,,
BE-TE18D,500,,
BE-TE19A,500,,
BE-TE19C,500,,
BE-TE19D,500,,
BE-TE20A,500,,
BE-TE20C,500,,
BE-TE20D,500,,
BE-TE21A,500,,
BE-TE21C,500,,
BE-TE21D,500,,
BE-TE21G,500,,
BE-TE22A,500,,
BE-TE22C,500,,
BE-TE22D,500,,
BE-TE22G,500,,
BE-TE23A,500,,
BE-TE23C,500,,
BE-TE23D,500,,
BE-TE23G,500,,
BE-TE24A,500,,
BE-TE24C,500,,
BE-TE24D,500,,
BE-TE24G,500,,
BE-TE25A,500,,
BE-TE25C,500,,
BE-TE25D,500,,
BE-TE25G,500,,
BE-TE26A,500,,
BE-TE26C,500,,
BE-TE26D,500,,
BE-TE26G,500,,
BE-TE27A,500,,
BE-TE27C,500,,
BE-TE27D,500,,
BE-TE28A,500,,
BE-TE28C,500,,
BE-TE28D,500,,
BE-TE29A,500,,
BE-TE29C,500,,
BE-TE29D,500,,
BE-TE30A,500,,
BE-TE30C,500,,
BE-TE30D,500,,
BE-TE31A,500,,
BE-TE31C,500,,
BE-TE31D,500,,
BE-TE31G,500,,
BE-TE32A,500,,
BE-TE32C,500,,
BE-TE32D,500,,
BE-TE32G,500,,
BE-TE33A,500,,
BE-TE33C,500,,
BE-TE33D,500,,
BE-TE33G,500,,
BE-TE34A,500,,
BE-TE34C,500,,
BE-TE34D,500,,
BE-TE34G,500,,
BE-TE35A,500,,
BE-TE35C,500,,
BE-TE35D,500,,
BE-TE35G,500,,
BE-TE36A,500,,
BE-TE36C,500,,
BE-TE36D,500,,
BE-TE36G,500,,
BE-TE37A,500,,
BE-TE37C,500,,
BE-TE37D,500,,
BE-TE38A,500,,
BE-TE38C,500,,
BE-TE38D,500,,
BE-TE39A,500,,
BE-TE39C,500,,
BE-TE39D,500,,
BE-TE40A,500,,
BE-TE40C,500,,
BE-TE40D,500,,
BE-TE41A,500,,
BE-TE41G,500,,
BE-TE42A,500,,
BE-TE42G,500,,
BE-TE43A,500,,
BE-TE43G,500,,
BE-TE44A,500,,
BE-TE44G,500,,
BE-TE45A,500,,
BE-TE45G,500,,
BE-TE46A,500,,
BE-TE46G,500,,
BE-TE47A,500,,
BE-TE48A,500,,
BE-TE49A,500,,
BE-TE50A,500,,
BE-TE51A,500,,
BE-TE51G,500,,
BE-TE52A,500,,
BE-TE52G,500,,
BE-TE53A,500,,
BE-TE53G,500,,
BE-TE54A,500,,
BE-TE54G,500,,
BE-TE55A,500,,
BE-TE55G,500,,
BE-TE56A,500,,
BE-TE56G,500,,
BE-TE57A,500,,
BE-TE58A,500,,
BE-TE59A,500,,
BE-TE60A,500,,
MB-NN51-ZV13,280,,
STMFLW,,,800
STMFLW%,,,800
